<TRAINING LOG>
date : 20150419
Unique ID : 20150419111139
fold	cls	tt	clst	cand	no_ctrd	sigma	weight	beta_a 	beta_b	beta_a_bias	beta_b_bias	beta_a_var	beta_b_var	p_val_tr	y_min	y_max	var_max
3	0	0	4	0	5	0.092788	100409.267232	0.005220	0.380166	0.000460	0.112716	0.000004	0.053268	0.000000	0.000000	527.362961	0.137755
3	0	0	4	1	5	0.185577	196.111850	0.126130	1.654122	0.005205	0.109024	0.000701	0.202579	0.000000	0.000000	52.816951	0.137755
3	0	0	4	2	5	0.371154	0.383031	1.101171	2.890341	0.008861	0.029116	0.013720	0.110994	0.872744	0.003386	0.467935	0.137755
3	0	0	4	3	5	0.742308	0.000748	2.841248	2.847282	0.024926	0.023622	0.097006	0.089370	0.811919	0.000510	0.002411	0.137755
3	0	0	4	4	5	1.484616	0.000001	3.789850	2.297253	0.046663	0.023693	0.227091	0.065326	0.291386	0.000004	0.000007	0.137755
3	1	0	0	0	1	0.047936	191538448.549777	0.026231	0.378516	-0.000070	0.004080	0.000011	0.002507	0.000000	0.000000	19010997.199920	0.036765
3	1	0	0	1	1	0.095871	374098.532324	0.198106	0.901000	0.000791	0.008489	0.000403	0.012979	0.000000	0.000000	209977.730533	0.036765
3	1	0	0	2	1	0.191743	730.661196	1.063308	1.123619	0.003563	0.003615	0.008381	0.008865	0.001249	0.000000	632.430566	0.036765
3	1	0	0	3	1	0.383486	1.427073	1.644610	0.498046	0.024757	0.004335	0.054593	0.002398	0.000000	0.001423	1.376481	0.036765
3	1	0	0	4	1	0.766972	0.002787	1.682383	0.203935	0.053410	0.003624	0.102517	0.000604	0.000000	0.000495	0.002762	0.036765
3	1	0	1	0	2	0.051668	48774462.190762	0.064365	1.950721	0.006044	0.266727	0.000335	0.556920	0.000000	0.000000	32612932.259908	0.042713
3	1	0	1	1	2	0.103335	95262.621466	0.726673	2.320568	0.003185	0.012964	0.003859	0.042892	0.000190	0.000000	86372.324038	0.042713
3	1	0	1	2	2	0.206671	186.059808	1.320223	0.789984	0.009540	0.003267	0.021621	0.004378	0.000001	0.000000	227.519399	0.042713
3	1	0	1	3	2	0.413341	0.363398	1.601316	0.397621	0.028546	0.003973	0.059022	0.001616	0.000000	0.002555	0.638832	0.042713
