fold,cls,tt,clst,cand,no_ctrd,sigma,weight,beta_a ,beta_b,beta_a_bias,beta_b_bias,beta_a_var,beta_b_var,p_val_tr,y_min,y_max
2,1,0,1,3,2,0.626511,0.008606,3.080990,0.803595,0.046374,0.008752,0.170442,0.007261,0.000220,0.001362,0.010457
2,1,0,1,4,2,1.253022,0.000017,2.788074,0.594138,0.085603,0.012670,0.275536,0.006594,0.000000,0.000017,0.000029
2,1,0,2,0,3,0.078314,770053.082843,0.334435,2.783094,0.006401,0.069204,0.002396,0.219287,0.000000,0.000000,642885.881871
2,1,0,2,1,3,0.156628,1504.009927,0.918272,1.159364,0.002449,0.001176,0.006318,0.005097,0.000027,0.000001,1441.958396
2,1,0,2,2,3,0.313256,2.937519,1.786123,1.006424,0.012715,0.004643,0.034907,0.006759,0.000012,0.021169,4.558628
2,1,0,2,3,3,0.626511,0.005737,2.233339,0.625162,0.033463,0.006130,0.093763,0.004051,0.000000,0.002814,0.012234
2,1,0,2,4,3,1.253022,0.000011,2.701433,0.473186,0.084317,0.010050,0.258711,0.004072,0.000000,0.000017,0.000030
2,1,0,3,0,4,0.078314,577539.812132,0.372244,2.321558,0.003645,0.031929,0.001736,0.088866,0.000000,0.000000,476746.005554
2,1,0,3,1,4,0.156628,1128.007446,0.939892,0.855678,0.002987,0.001258,0.007211,0.003573,0.002642,0.000001,1293.944799
2,1,0,3,2,4,0.313256,2.203140,1.815742,0.902497,0.014594,0.004644,0.039406,0.005796,0.000122,0.021695,5.090395
2,1,0,3,3,4,0.626511,0.004303,2.022261,0.488712,0.039223,0.006049,0.098714,0.002998,0.000000,0.002993,0.013158
2,1,0,3,4,4,1.253022,0.000008,2.381976,0.342487,0.081919,0.007656,0.219989,0.002167,0.000000,0.000017,0.000031
2,1,0,4,0,5,0.071581,1037594.433502,0.379416,2.246814,0.003298,0.027248,0.001715,0.075510,0.000000,0.000000,853707.860366
2,1,0,4,1,5,0.143162,2026.551628,1.044242,0.941385,0.003700,0.001838,0.008968,0.004591,0.001331,0.000000,2551.497780
2,1,0,4,2,5,0.286325,3.958109,1.898935,0.924453,0.016963,0.005376,0.046622,0.006525,0.000003,0.029577,11.366400
2,1,0,4,3,5,0.572650,0.007731,2.144101,0.500168,0.046180,0.006982,0.120821,0.003386,0.000000,0.006140,0.029918
2,1,0,4,4,5,1.145300,0.000015,2.503361,0.369325,0.087816,0.008556,0.247142,0.002604,0.000000,0.000039,0.000069
3,0,0,0,0,1,0.094343,432316.788190,0.006659,21.875327,0.006293,21.650187,0.000040,471.635905,0.000000,0.000000,110.714447
3,0,0,0,1,1,0.188686,844.368727,0.042108,3.960069,0.015973,1.850062,0.000570,7.423429,0.000000,0.000000,106.815109
3,0,0,0,2,1,0.377372,1.649158,0.705425,3.924804,0.016620,0.120146,0.011214,0.496471,0.000001,0.000548,0.983529
3,0,0,0,3,1,0.754744,0.003221,2.860915,3.018515,0.024110,0.024540,0.093776,0.098023,0.527763,0.000435,0.002831
3,0,0,0,4,1,1.509489,0.000006,3.949102,2.370258,0.050893,0.025344,0.255266,0.070415,0.246737,0.000004,0.000006
3,0,0,1,0,2,0.091170,294098.703725,0.006044,0.574679,0.000415,0.121192,0.000004,0.069016,0.000000,0.000000,129.079390
3,0,0,1,1,2,0.182340,574.411531,0.049024,1.143243,0.002333,0.101434,0.000142,0.129796,0.000000,0.000000,83.153211
